Macrozone,HAI
"Arco della Pace, Arena, Pagano",177.41681122851287
"Porta Venezia, Indipendenza",234.2590905541529
Navigli,259.4482400761048
"Cenisio, Sarpi, Isola",263.701489913418
"Fiera, Sempione, City Life, Portello",271.108835135705
"Centrale, Repubblica",292.46892517669994
"Abbiategrasso, Chiesa Rossa",296.05750094573926
"Solari, Washington",296.05750094573926
Centro,303.5054883909151
"Genova, Ticinese",309.3421323984327
"Garibaldi, Moscova, Porta Nuova",321.71581769436995
"Viale Certosa, Cascina Merlata",366.14091543365316
"Quadronno, Palestro, Guastalla",371.2105588781192
"Città Studi, Susa",442.7281894876651
"Famagosta, Barona",554.6824443006379
"Pasteur, Rovereto",561.1322401645988
"Porta Romana, Cadore, Montenero",575.8636354911157
"San Siro, Trenno",599.4704677534844
"Precotto, Turro",622.6757761826515
"Maggiolina, Istria",637.4818052068098
"Bicocca, Niguarda",661.0598993719931
"Bande Nere, Inganni",687.4269608854061
"Ripamonti, Vigentino",722.4157582957409
"Cimiano, Crescenzago, Adriano",756.3851513190516
"Corvetto, Rogoredo",758.7637209772877
"Porta Vittoria, Lodi",778.3447202283144
"Affori, Bovisa",780.8636351805096
Forlanini,819.3102318192783
"Bisceglie, Baggio, Olmi",931.6095106979825
"Ponte Lambro, Santa Giulia",931.6095106979825
