macrozone,HPI
"Ponte Lambro, Santa Giulia",2443.396226415094
"Bisceglie, Baggio, Olmi",2443.396226415094
"Porta Vittoria, Lodi",2572.327044025157
Forlanini,2778.301886792453
"Corvetto, Rogoredo",2849.056603773585
"Ripamonti, Vigentino",3150.943396226415
"Affori, Bovisa",3153.5377358490564
"Bande Nere, Inganni",3294.8113207547167
"Bicocca, Niguarda",3364.7798742138366
"Cimiano, Crescenzago, Adriano",3552.8301886792456
"Precotto, Turro",3709.905660377359
"Porta Romana, Cadore, Montenero",3952.8301886792456
"Famagosta, Barona",4103.77358490566
"Maggiolina, Istria",4212.264150943396
"San Siro, Trenno",4816.037735849057
"Città Studi, Susa",5269.811320754717
"Quadronno, Palestro, Guastalla",7201.257861635221
"Pasteur, Rovereto",7486.792452830188
"Centrale, Repubblica",7592.452830188679
"Abbiategrasso, Chiesa Rossa",7688.679245283019
"Fiera, Sempione, City Life, Portello",7881.132075471699
"Porta Venezia, Indipendenza",8113.207547169812
"Cenisio, Sarpi, Isola",8438.67924528302
"Genova, Ticinese",8641.509433962263
"Solari, Washington",8764.150943396226
Navigli,8773.584905660377
"Viale Certosa, Cascina Merlata",9006.2893081761
Centro,10905.66037735849
"Arco della Pace, Arena, Pagano",12696.226415094341
"Garibaldi, Moscova, Porta Nuova",18632.075471698114
