Macrozone,NIL
"Affori, Bovisa",SACCO
"Affori, Bovisa",COMASINA
"Affori, Bovisa",STEPHENSON
"San Siro, Trenno",QT 8
"Ripamonti, Vigentino",ORTOMERCATO
"Viale Certosa, Cascina Merlata",MAGGIORE - MUSOCCO
"Cimiano, Crescenzago, Adriano",PARCO LAMBRO - CIMIANO
"San Siro, Trenno",GALLARATESE
"San Siro, Trenno",S. SIRO
"Affori, Bovisa",GHISOLFA
"Bisceglie, Baggio, Olmi",BAGGIO
"San Siro, Trenno",QUARTO CAGNINO
,LORENTEGGIO
,GIAMBELLINO
"Famagosta, Barona",S. CRISTOFORO
"Famagosta, Barona",RONCHETTO SUL NAVIGLIO
"Ripamonti, Vigentino",TIBALDI
"Viale Certosa, Cascina Merlata",CASCINA TRIULZA - EXPO
"Affori, Bovisa",QUARTO OGGIARO
"Affori, Bovisa",AFFORI
"Bicocca, Niguarda",PADOVA
"Ripamonti, Vigentino",EX OM - MORIVIONE
"Cimiano, Crescenzago, Adriano",ADRIANO
"Cenisio, Sarpi, Isola",FARINI
"Porta Romana, Cadore, Montenero",UMBRIA - MOLISE
"Ripamonti, Vigentino",TRIULZO SUPERIORE
"Porta Vittoria, Lodi",CORSICA
"Città Studi, Susa",CITTA' STUDI
"San Siro, Trenno",SELINUNTE
Forlanini,PARCO MONLUE' - PONTE LAMBRO
"Bicocca, Niguarda",NIGUARDA - CA' GRANDA
"Ripamonti, Vigentino",STADERA
"Quadronno, Palestro, Guastalla",GUASTALLA
"Garibaldi, Moscova, Porta Nuova",BRERA
Centro,DUOMO
"Porta Romana, Cadore, Montenero",SCALO ROMANA
,MAGENTA - S. VITTORE
"Affori, Bovisa",BOVISASCA
"Porta Vittoria, Lodi",LODI - CORVETTO
,LAMBRATE
"Famagosta, Barona",BARONA
"Affori, Bovisa",BRUZZANO
"San Siro, Trenno",TRENNO
"Abbiategrasso, Chiesa Rossa",GRATOSOGLIO - TICINELLO
"San Siro, Trenno",FIGINO
"San Siro, Trenno",QUINTO ROMANO
"Ripamonti, Vigentino",PARCO AGRICOLO SUD
"Affori, Bovisa",VILLAPIZZONE
"Affori, Bovisa",BOVISA
"Affori, Bovisa",DERGANO
"Bicocca, Niguarda",PARCO NORD
"Bicocca, Niguarda",BICOCCA
"Bisceglie, Baggio, Olmi",MUGGIANO
"Fiera, Sempione, City Life, Portello",PORTELLO
"Fiera, Sempione, City Life, Portello",TRE TORRI
"Arco della Pace, Arena, Pagano",PARCO SEMPIONE
"Città  Studi, Susa",GIARDINI PORTA VENEZIA
"Solari, Washington",TORTONA
Navigli,NAVIGLI
"Porta Vittoria, Lodi",XXII MARZO
"Porta Venezia, Indipendenza",BUENOS AIRES - VENEZIA
"Ripamonti, Vigentino",QUINTOSOLE
"Famagosta, Barona",RONCHETTO DELLE RANE
"Ripamonti, Vigentino",CHIARAVALLE
"Ripamonti, Vigentino",PARCO DELLE ABBAZIE
"Corvetto, Rogoredo",ROGOREDO
Forlanini,MECENATE
"Ripamonti, Vigentino",RIPAMONTI
"Pasteur, Rovereto",VIALE MONZA
"Centrale, Repubblica",CENTRALE
"Precotto, Turro",GRECO
"Bicocca, Niguarda",LORETO
Forlanini,PARCO FORLANINI - ORTICA
"Maggiolina, Istria",MACIACHINI - MAGGIOLINA
"Cenisio, Sarpi, Isola",ISOLA
"Cenisio, Sarpi, Isola",SARPI
"Fiera, Sempione, City Life, Portello",DE ANGELI - MONTE ROSA
"Solari, Washington",WASHINGTON
"Bande Nere, Inganni",BANDE NERE
"San Siro, Trenno",FORZE ARMATE
"San Siro, Trenno",PARCO BOSCO IN CITTÀ
"Porta Romana, Cadore, Montenero",PORTA ROMANA
"Porta Romana, Cadore, Montenero",VIGENTINA
"Genova, Ticinese",TICINESE
"San Siro, Trenno",CANTALUPA
Navigli,PARCO DEI NAVIGLI
"Arco della Pace, Arena, Pagano",PAGANO
"Centrale, Repubblica",GARIBALDI REPUBBLICA
